Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms)
2020-02-08,48,,1292.431248664856,,,,,,0.3865018156241535,0.7815725803375244,0.282440721988678,2173,,,,,,
2020-02-09,46,,1683.54865026474,,,,,,0.4127963646071117,1.972220540046692,0.2510583996772766,2766,,,,,,
2020-02-10,128,,6626.16045331955,49.0,48,,,,0.5277119071495892,1.6878546476364136,0.282440721988678,9762,,,,,,
2020-02-11,187,,11780.265838623047,94.0,93,,,,0.6359174831248281,2.3538804054260254,0.2615191638469696,16879,,,,,,
2020-02-12,146,,7160.26751101017,34.0,34,,,,0.6031031068827984,1.8722789287567139,0.2511216402053833,10674,,,,,,
2020-02-13,171,,11241.289955079556,98.0,98,,,,0.6908937387675633,1.746847152709961,0.27145275473594666,16193,,,,,,
2020-02-14,196,,9089.548241138458,48.0,48,,,,0.5567978024860735,3.2721774578094482,0.2510583996772766,13650,,,,,,
2020-02-15,54,,1495.490291595459,,,,,,0.3676109944096341,1.9089828729629517,0.2510583996772766,2548,,,,,,
2020-02-16,51,,1520.1318035125732,,,,,,0.3609056403070777,1.3266421556472778,0.3033622205257416,2479,,,,,,
2020-02-17,155,,8448.848216593266,47.0,47,,,,0.5922869713618735,1.9486393928527832,0.2510583996772766,12514,,,,,,
2020-02-18,38,,1242.055911064148,,,,,,0.45825118727526953,1.6830511093139648,0.2929014563560486,2139,,,,,,
2020-02-19,127,,6790.229091882706,37.0,33,,,,0.6687356146673332,2.4795827865600586,0.2592269480228424,10165,,,,,,
2020-02-20,181,,10765.544583797455,66.0,66,,,,0.5947667314368404,1.6131761074066162,0.282440721988678,15824,,,,,,
2020-02-21,111,,7191.910024642944,62.0,59,,,,0.5516087060240695,2.178462505340576,0.2615191638469696,10421,,,,,,
2020-02-22,31,,1207.202491760254,,,,,,0.39055788031492034,0.9172075390815735,0.2510583996772766,2000,,,,,,
2020-02-23,83,,3078.8865847587585,2.0,2,,,,0.5651454234016602,1.6114789247512817,0.2523641288280487,4965,,,,,,
2020-02-24,153,,10338.735883235931,101.0,91,,,,0.5670260546365217,1.9683257341384888,0.2719799280166626,14590,,,,,,
2020-02-25,237,,9367.030586242676,53.0,52,,,,0.7576209613578611,2.662177801132202,0.25971585512161255,13859,,,,,,
2020-02-26,119,,5381.3087240457535,24.0,24,,,,0.5893228254027155,2.629648447036743,0.25456324219703674,8263,,,,,,
2020-02-27,133,,7358.131059885025,40.0,39,,,,0.9222838280663145,3.168811559677124,0.2929014563560486,10959,,,,,,
