date,value
2025-01-23,8061.919
2025-01-22,8375.19
2025-01-21,6780.69
2025-01-20,9005.88
2025-01-19,9041.762
2025-01-18,7085.65
2025-01-17,7176.382
2025-01-16,12338.874
2025-01-15,10249.002
2025-01-14,7899.84
2025-01-13,11330.289
2025-01-12,9803.134
2025-01-11,10188.287
2025-01-10,10079.781
2025-01-09,12859.698
2025-01-08,7297.169
2025-01-07,10452.552
2025-01-06,6636.047
2025-01-05,4198.087
2025-01-04,8100.8
2025-01-03,1956.013
2025-01-02,4047.61
2025-01-01,289.116
2024-12-31,7456.909
2024-12-30,6544.186
2024-12-29,9241.363
2024-12-28,5160.272
2024-12-27,11477.081
2024-12-26,9485.625
2024-12-25,8213.123
2024-12-24,7597.226
2024-12-23,6970.555
2024-12-22,3695.488
2024-12-21,3757.824
2024-12-20,7981.639
2024-12-19,12936.756
2024-12-18,7704.1
2024-12-17,6894.559
2024-12-16,9021.341
2024-12-15,8561.522
2024-12-14,9385.387
2024-12-13,15524.981
2024-12-12,2082.798
2024-12-11,12643.719
2024-12-10,11270.602
2024-12-09,5565.22
2024-12-08,6460.888
2024-12-07,6539.363
2024-12-06,8558.057
2024-12-05,6922.914
2024-12-04,12965.375
2024-12-03,7663.091
2024-12-02,9355.923
2024-12-01,4600.798
2024-11-30,11465.701
2024-11-29,8432.062
2024-11-28,14567.894
2024-11-27,3934.586
2024-11-26,9523.372
2024-11-25,7497.077
2024-11-24,3944.111
2024-11-23,7898.913
2024-11-22,9702.686
2024-11-21,6671.996
2024-11-20,5363.47
2024-11-19,7296.423
2024-11-18,7427.502
2024-11-17,1562.634
2024-11-16,4333.645
2024-11-15,9696.422
2024-11-14,4366.742
2024-11-13,10542.995
2024-11-12,14932.489
2024-11-11,9002.789
2024-11-10,10120.611
2024-11-09,2340.24
2024-11-08,9167.211
2024-11-07,9024.069
2024-11-06,5464.153
2024-11-05,8435.002
2024-11-04,8143.046
2024-11-03,5202.309
2024-11-02,12809.16
2024-11-01,10914.727
2024-10-31,4211.575
2024-10-30,3404.905
2024-10-29,7273.628
2024-10-28,6258.573
2024-10-27,4672.642
2024-10-26,8360.927
2024-10-25,4800.888
2024-10-24,8455.626
2024-10-23,15055.147
2024-10-22,11609.185
2024-10-21,11902.899
2024-10-20,14263.264
2024-10-19,12530.177
2024-10-18,10176.298
2024-10-17,5812.387
2024-10-16,16785.518
2024-10-15,3978.846
2024-10-14,3948.269
2024-10-13,3946.566
2024-10-12,5665.677
2024-10-11,9173.203
2024-10-10,6958.779
2024-10-09,5282.662
2024-10-08,5607.411
2024-10-07,8828.531
2024-10-06,685.016
2024-10-05,7565.19
2024-10-04,11769.138
2024-10-03,11599.859
2024-10-02,5761.085
2024-10-01,7289.405
2024-09-30,4103.075
2024-09-29,9543.359
2024-09-28,8858.709
2024-09-27,12472.697
2024-09-26,7824.513
2024-09-25,7752.405
2024-09-24,11751.385
2024-09-23,7577.212
2024-09-22,7089.072
2024-09-21,6083.511
2024-09-20,8264.723
2024-09-19,8471.283
2024-09-18,5614.461
2024-09-17,2875.555
2024-09-16,9324.503
2024-09-15,15884.008
2024-09-14,2602.19
2024-09-13,4963.952
2024-09-12,4040.039
2024-09-11,12051.183
2024-09-10,11088.133
2024-09-09,8333.068
2024-09-08,4616.507
2024-09-07,2993.255
2024-09-06,12924.045
2024-09-05,11458.571
2024-09-04,9486.885
2024-09-03,9927.369
2024-09-02,1693.542
2024-09-01,539.732
2024-08-31,3453.269
2024-08-30,8681.396
2024-08-29,7485.789
2024-08-28,15780.631
2024-08-27,12716.759
2024-08-26,3510.997
2024-08-25,6737.115
2024-08-24,4297.441
2024-08-23,11510.389
2024-08-22,8452.62
2024-08-21,4768.915
2024-08-20,17416.127
2024-08-19,9324.468
2024-08-18,5296.952
2024-08-17,1268.503
2024-08-16,11917.165
2024-08-15,6892.584
2024-08-14,5436.799
2024-08-13,3300.305
2024-08-12,14926.44
2024-08-11,8530.164
2024-08-10,8397.944
2024-08-09,10774.078
2024-08-08,5810.754
2024-08-07,1755.152
2024-08-06,4813.011
2024-08-05,3954.168
2024-08-04,2710.28
2024-08-03,4550.32
2024-08-02,2348.311
2024-08-01,6284.978
2024-07-31,5124.083
2024-07-30,8470.033
2024-07-29,9845.764
2024-07-28,582.123
2024-07-27,8340.306
2024-07-26,14579.219
2024-07-25,3750.862
2024-07-24,12061.799
2024-07-23,3485.344
2024-07-22,7976.786
2024-07-21,11134.883
2024-07-20,1752.52
2024-07-19,14371.649
2024-07-18,3897.004
2024-07-17,6834.764
2024-07-16,10801.855
2024-07-15,1058.428
2024-07-14,7305.218
2024-07-13,3806.502
2024-07-12,7113.469
2024-07-11,8237.815
2024-07-10,5962.359
2024-07-09,4511.571
2024-07-08,1014.769
2024-07-07,5979.851
2024-07-06,9536.563
2024-07-05,11116.284
2024-07-04,8125.657
2024-07-03,6817.872
2024-07-02,10775.826
2024-07-01,9759.763
2024-06-30,15659.849
2024-06-29,8662.34
2024-06-28,8657.386
2024-06-27,13648.457
2024-06-26,5047.912
2024-06-25,10904.664
2024-06-24,11313.722
2024-06-23,11116.33
2024-06-22,6534.194
2024-06-21,13503.194
2024-06-20,6472.477
2024-06-19,9783.36
2024-06-18,4557.339
2024-06-17,666.855
2024-06-16,121.312
2024-06-15,1771.496
2024-06-14,9588.887
2024-06-13,272.408
2024-06-12,4204.498
2024-06-11,5853.622
2024-06-10,580.411
2024-06-09,9998.798
2024-06-08,8627.962
2024-06-07,6387.503
2024-06-06,10225.264
2024-06-05,10669.537
2024-06-04,10041.387
2024-06-03,6315.579
2024-06-02,14395.465
2024-06-01,6796.169
2024-05-31,11649.464
2024-05-30,5959.748
2024-05-29,7876.866
2024-05-28,5941.538
2024-05-27,9826.884
2024-05-26,4133.728
2024-05-25,5948.435
2024-05-24,14088.357
2024-05-23,10401.774
2024-05-22,594.94
2024-05-21,9004.624
2024-05-20,9562.706
2024-05-19,10139.939
2024-05-18,5382.999
2024-05-17,9914.382
2024-05-16,13523.885
2024-05-15,12441.655
2024-05-14,9509.396
2024-05-13,7998.537
2024-05-12,11476.366
2024-05-11,6050.343
2024-05-10,941.443
2024-05-09,990.113
2024-05-08,3707.913
2024-05-07,5887.222
2024-05-06,8308.778
2024-05-05,7199.102
2024-05-04,6878.153
2024-05-03,11085.463
2024-05-02,7391.586
2024-05-01,7489.479
2024-04-30,9838.279
2024-04-29,9020.722
2024-04-28,9940.415
2024-04-27,4821.633
2024-04-26,8979.546
2024-04-25,8856.121
2024-04-24,3077.119
2024-04-23,6141.617
2024-04-22,622.544
2024-04-21,1568.12
2024-04-20,6882.585
2024-04-19,10716.007
2024-04-18,7805.665
2024-04-17,4229.779
2024-04-16,7481.631
2024-04-15,11319.263
2024-04-14,12870.046
2024-04-13,10190.468
2024-04-12,16590.08
2024-04-11,10415.11
2024-04-10,8198.758
2024-04-09,6406.451
2024-04-08,5241.778
2024-04-07,5800.847
2024-04-06,6396.202
2024-04-05,11225.584
2024-04-04,4250.659
2024-04-03,8678.257
2024-04-02,6617.796
2024-04-01,9038.605
2024-03-31,6971.281
2024-03-30,7750.001
2024-03-29,10611.106
2024-03-28,6423.55
2024-03-27,11268.535
2024-03-26,6372.373
2024-03-25,11630.127
2024-03-24,10294.34
2024-03-23,4650.849
2024-03-22,8100.951
2024-03-21,10836.032
2024-03-20,10311.861
2024-03-19,3723.019
2024-03-18,10521.146
2024-03-17,8203.689
2024-03-16,8113.61
2024-03-15,9576.422
2024-03-14,8418.398
2024-03-13,3477.563
2024-03-12,7913.934
2024-03-11,8009.592
2024-03-10,9919.586
2024-03-09,7219.505
2024-03-08,8900.687
2024-03-07,8724.168
2024-03-06,7265.806
2024-03-05,6515.207
2024-03-04,7099.586
2024-03-03,10394.064
2024-03-02,9642.142
2024-03-01,10858.133
2024-02-29,9177.863
2024-02-28,7106.547
2024-02-27,8648.7
2024-02-26,10664.915
2024-02-25,3983.692
2024-02-24,9980.612
2024-02-23,14888.323
2024-02-22,3356.954
2024-02-21,8133.7
2024-02-20,9373.637
2024-02-19,9276.783
2024-02-18,10709.222
2024-02-17,8490.668
2024-02-16,13888.588
2024-02-15,7955.433
2024-02-14,6372.72
2024-02-13,11444.024
2024-02-12,9563.306
2024-02-11,4462.878
2024-02-10,981.259
2024-02-09,11715.468
2024-02-08,10987.59
2024-02-07,7346.73
2024-02-06,10648.869
2024-02-05,11179.058
2024-02-04,6190.562
2024-02-03,4039.251
2024-02-02,11943.038
2024-02-01,8652.041
2024-01-31,9917.379
2024-01-30,5260.445
2024-01-29,13037.084
2024-01-28,9336.328
2024-01-27,10844.814
2024-01-26,12334.115
2024-01-25,533.92
2024-01-24,4033.724
2024-01-23,10264.5
2024-01-22,10702.141
2024-01-21,5901.256
2024-01-20,11009.727
2024-01-19,13346.2
2024-01-18,5989.202
2024-01-17,10549.601
2024-01-16,10427.204
2024-01-15,8910.124
2024-01-14,11335.058
2024-01-13,8359.732
2024-01-12,9341.719
2024-01-11,10221.397
2024-01-10,9935.98
2024-01-09,9170.439
2024-01-08,6882.082
2024-01-07,12568.923
2024-01-06,9699.232
2024-01-05,12189.912
2024-01-04,10785.855
2024-01-03,7973.9
2024-01-02,2226.01
2024-01-01,3116.697
2023-12-31,11467.275
2023-12-30,9054.98
2023-12-29,4374.119
2023-12-28,3817.418
2023-12-27,9309.98
2023-12-26,7355.877
2023-12-25,1216.031
2023-12-24,10294.39
2023-12-23,5429.398
2023-12-22,5497.983
2023-12-21,3675.234
2023-12-20,9271.195
2023-12-19,7492.831
2023-12-18,8302.651
2023-12-17,5302.898
2023-12-16,3102.161
2023-12-15,10873.398
2023-12-14,7785.269
2023-12-13,3852.6
2023-12-12,6396.835
2023-12-11,8770.057
2023-12-10,2813.15
2023-12-09,3788.482
2023-12-08,5258.892
2023-12-07,7905.686
2023-12-06,3509.387
2023-12-05,3288.282
2023-12-04,7157.972
2023-12-03,654.506
2023-12-02,6256.411
2023-12-01,8178.745
2023-11-30,16727.771
2023-11-29,9402.517
2023-11-28,7018.305
2023-11-27,11046.873
2023-11-26,14467.464
2023-11-25,9853.89
2023-11-24,6309.68
2023-11-23,10222.499
2023-11-22,2778.226
2023-11-21,777.272
2023-11-20,4657.898
2023-11-19,2950.938
2023-11-18,3753.161
2023-11-17,9036.396
2023-11-16,9218.057
2023-11-15,9126.361
2023-11-14,6969.27
2023-11-13,8477.439
2023-11-12,482.344
2023-11-11,6450.411
2023-11-10,7318.899
2023-11-09,10358.106
2023-11-08,6403.175
2023-11-07,12202.191
2023-11-06,8741.783
