Date,"Weight (kg)","Fat mass (kg)","Bone mass (kg)","Muscle mass (kg)","Hydration (kg)",Comments
"2025-12-23 11:12:57",71.88,7.58,3.22,61.08,44.85,
"2025-12-23 11:09:28",71.91,,,,,
"2025-12-23 11:07:42",71.91,,,,,
"2025-12-23 09:29:14",72.08,,,,,
"2025-12-22 09:03:40",71.82,,,,,
"2025-12-21 07:55:42",71.22,,,,,
"2025-12-21 06:45:40",71.81,,,,,
"2025-12-20 07:21:35",70.10,,,,,
"2025-12-19 09:45:17",70.25,,,,,
"2025-12-18 09:29:48",69.68,,,,,
"2025-12-17 08:47:48",70.39,,,,,
"2025-12-16 07:22:33",69.67,,,,,
"2025-12-15 07:26:04",70.58,,,,,
"2025-12-14 09:12:46",70.69,,,,,
"2025-12-13 09:09:25",70.10,,,,,
"2025-12-12 07:08:37",69.44,,,,,
"2025-12-11 08:24:17",69.78,,,,,
"2025-12-10 08:38:14",70.67,,,,,
"2025-12-09 09:08:12",70.17,,,,,
"2025-12-08 07:55:10",71.21,,,,,
"2025-12-07 10:59:10",72.75,,,,,
"2025-12-06 07:49:53",70.95,,,,,
"2025-12-05 07:03:44",70.80,,,,,
"2025-12-04 09:04:19",70.46,,,,,
"2025-12-03 17:29:47",70.89,,,,,
"2025-12-03 08:00:52",71.12,,,,,
"2025-12-02 08:11:43",71.71,,,,,
"2025-12-02 08:04:17",71.76,,,,,
"2025-12-01 17:36:04",72.21,,,,,
"2025-12-01 08:48:23",73.17,,,,,
"2025-11-30 16:57:30",73.01,,,,,
"2025-11-30 09:36:55",73.53,,,,,
"2025-11-29 09:08:31",71.21,,,,,
"2025-11-28 07:34:18",70.29,,,,,
"2025-11-27 07:18:03",70.36,,,,,
"2025-11-26 08:31:19",69.81,,,,,
"2025-11-25 08:52:30",70.12,,,,,
"2025-11-24 07:10:08",70.85,,,,,
"2025-11-23 10:01:59",71.05,,,,,
"2025-11-17 07:05:48",70.06,,,,,
"2025-11-16 10:13:08",71.30,,,,,
"2025-11-15 07:53:45",70.52,,,,,
"2025-11-14 07:23:37",70.15,,,,,
"2025-11-13 07:01:23",70.11,,,,,
"2025-11-12 09:22:04",70.50,,,,,
"2025-11-11 07:31:15",70.46,,,,,
"2025-11-10 07:05:08",71.03,,,,,
"2025-11-09 08:06:29",71.20,,,,,
"2025-11-08 09:22:30",71.34,,,,,
"2025-11-07 06:32:33",70.82,,,,,
"2025-11-06 08:07:13",70.89,,,,,
"2025-11-05 09:56:04",71.35,,,,,
"2025-11-04 07:44:05",71.75,,,,,
"2025-11-03 08:00:06",72.53,,,,,
"2025-11-02 09:58:09",72.27,,,,,
"2025-11-01 09:58:40",71.92,,,,,
"2025-10-31 07:20:27",71.69,,,,,
"2025-10-30 08:26:09",71.80,,,,,
"2025-10-29 07:37:09",71.97,,,,,
"2025-10-28 08:24:12",72.25,,,,,
"2025-10-26 11:29:32",71.86,,,,,
"2025-10-25 09:20:24",71.93,,,,,
"2025-10-24 07:46:08",71.82,,,,,
"2025-10-23 07:02:03",72.33,,,,,
"2025-10-22 09:56:34",71.93,,,,,
"2025-10-21 07:00:11",72.01,,,,,
"2025-10-20 07:39:53",73.32,,,,,
"2025-10-20 07:32:15",73.46,,,,,
"2025-10-14 07:01:16",72.20,,,,,
"2025-10-13 06:40:54",71.72,,,,,
"2025-10-12 09:29:20",73.24,,,,,
"2025-10-11 08:17:21",72.46,,,,,
"2025-10-10 09:49:08",72.40,,,,,
"2025-10-09 07:28:25",71.78,,,,,
"2025-10-08 10:17:58",71.62,,,,,
"2025-10-07 07:00:41",72.05,,,,,
"2025-10-06 07:00:49",72.55,,,,,
"2025-10-05 10:16:05",73.13,,,,,
"2025-10-04 07:41:03",72.98,,,,,
"2025-10-03 09:00:46",71.92,,,,,
"2025-10-02 09:06:08",72.08,,,,,
"2025-10-01 08:15:28",72.33,,,,,
"2025-09-30 07:06:32",72.37,,,,,
"2025-09-29 08:01:34",73.04,,,,,
"2025-09-27 08:11:09",73.33,,,,,
"2025-09-26 09:30:40",72.91,,,,,
"2025-09-25 07:44:01",72.46,,,,,
"2025-09-24 09:07:19",73.17,,,,,
"2025-09-23 06:10:57",72.94,,,,,
"2025-09-22 07:28:31",74.08,,,,,
"2025-09-20 09:57:42",75.69,,,,,
"2025-09-19 06:35:20",74.64,,,,,
"2025-09-18 09:51:37",75.24,,,,,
"2025-09-16 07:09:50",72.89,,,,,
"2025-09-15 07:15:15",72.97,,,,,
"2025-09-14 09:21:05",74.40,,,,,
"2025-09-13 07:32:37",73.89,,,,,
"2025-09-12 10:03:16",74.90,,,,,
"2025-09-11 07:03:06",73.60,,,,,
"2025-09-10 06:59:07",74.64,,,,,
