date,value
2025-01-23,9580
2025-01-22,10171
2025-01-21,8221
2025-01-20,10897
2025-01-19,11687
2025-01-18,8554
2025-01-17,8675
2025-01-16,15096
2025-01-15,12421
2025-01-14,9850
2025-01-13,15296
2025-01-12,12121
2025-01-11,12283
2025-01-10,12148
2025-01-09,15464
2025-01-08,8988
2025-01-07,12646
2025-01-06,8516
2025-01-05,5171
2025-01-04,11050
2025-01-03,2679
2025-01-02,5015
2025-01-01,398
2024-12-31,9647
2024-12-30,8160
2024-12-29,11461
2024-12-28,6812
2024-12-27,14908
2024-12-26,11865
2024-12-25,9974
2024-12-24,9491
2024-12-23,8897
2024-12-22,5057
2024-12-21,4523
2024-12-20,10016
2024-12-19,15919
2024-12-18,9882
2024-12-17,8820
2024-12-16,11479
2024-12-15,10422
2024-12-14,11867
2024-12-13,19690
2024-12-12,2832
2024-12-11,16095
2024-12-10,14132
2024-12-09,6952
2024-12-08,8442
2024-12-07,8781
2024-12-06,10808
2024-12-05,8332
2024-12-04,16705
2024-12-03,9267
2024-12-02,11231
2024-12-01,5834
2024-11-30,14294
2024-11-29,10567
2024-11-28,18440
2024-11-27,4888
2024-11-26,11599
2024-11-25,9339
2024-11-24,5355
2024-11-23,9502
2024-11-22,13328
2024-11-21,8083
2024-11-20,6503
2024-11-19,9094
2024-11-18,9018
2024-11-17,2150
2024-11-16,5414
2024-11-15,12000
2024-11-14,5499
2024-11-13,13632
2024-11-12,18326
2024-11-11,11132
2024-11-10,12830
2024-11-09,3182
2024-11-08,10615
2024-11-07,11946
2024-11-06,7002
2024-11-05,10521
2024-11-04,10396
2024-11-03,7094
2024-11-02,16118
2024-11-01,13264
2024-10-31,5150
2024-10-30,4105
2024-10-29,8807
2024-10-28,8305
2024-10-27,6400
2024-10-26,11283
2024-10-25,6518
2024-10-24,11551
2024-10-23,20092
2024-10-22,15209
2024-10-21,15842
2024-10-20,19293
2024-10-19,17127
2024-10-18,13448
2024-10-17,7824
2024-10-16,21973
2024-10-15,5418
2024-10-14,5378
2024-10-13,5389
2024-10-12,7184
2024-10-11,11582
2024-10-10,8402
2024-10-09,6637
2024-10-08,7235
2024-10-07,11174
2024-10-06,943
2024-10-05,9710
2024-10-04,14793
2024-10-03,14411
2024-10-02,7476
2024-10-01,9568
2024-09-30,4989
2024-09-29,11504
2024-09-28,11622
2024-09-27,15799
2024-09-26,9682
2024-09-25,9522
2024-09-24,14422
2024-09-23,9100
2024-09-22,8658
2024-09-21,7576
2024-09-20,11334
2024-09-19,10704
2024-09-18,7354
2024-09-17,3548
2024-09-16,12827
2024-09-15,21600
2024-09-14,3566
2024-09-13,6396
2024-09-12,4799
2024-09-11,16197
2024-09-10,13989
2024-09-09,10913
2024-09-08,5840
2024-09-07,4116
2024-09-06,17403
2024-09-05,15469
2024-09-04,12915
2024-09-03,13430
2024-09-02,2331
2024-09-01,743
2024-08-31,4296
2024-08-30,11776
2024-08-29,10236
2024-08-28,21658
2024-08-27,17390
2024-08-26,4826
2024-08-25,9234
2024-08-24,5383
2024-08-23,15301
2024-08-22,10597
2024-08-21,6557
2024-08-20,22670
2024-08-19,11942
2024-08-18,6920
2024-08-17,1746
2024-08-16,15940
2024-08-15,8284
2024-08-14,7016
2024-08-13,4204
2024-08-12,19843
2024-08-11,10803
2024-08-10,10480
2024-08-09,14088
2024-08-08,7675
2024-08-07,2377
2024-08-06,6610
2024-08-05,5291
2024-08-04,3731
2024-08-03,6237
2024-08-02,3212
2024-08-01,8549
2024-07-31,6993
2024-07-30,10721
2024-07-29,12224
2024-07-28,801
2024-07-27,10863
2024-07-26,19316
2024-07-25,4671
2024-07-24,16433
2024-07-23,4245
2024-07-22,10162
2024-07-21,15131
2024-07-20,2395
2024-07-19,19564
2024-07-18,5146
2024-07-17,8864
2024-07-16,13631
2024-07-15,1444
2024-07-14,10042
2024-07-13,5222
2024-07-12,9547
2024-07-11,10328
2024-07-10,8062
2024-07-09,5784
2024-07-08,1393
2024-07-07,7610
2024-07-06,12928
2024-07-05,14704
2024-07-04,10213
2024-07-03,8661
2024-07-02,14331
2024-07-01,13220
2024-06-30,21096
2024-06-29,11463
2024-06-28,11333
2024-06-27,18028
2024-06-26,6685
2024-06-25,14904
2024-06-24,15396
2024-06-23,15134
2024-06-22,8566
2024-06-21,17338
2024-06-20,8260
2024-06-19,12584
2024-06-18,5775
2024-06-17,918
2024-06-16,167
2024-06-15,2322
2024-06-14,12431
2024-06-13,375
2024-06-12,5312
2024-06-11,7325
2024-06-10,799
2024-06-09,12334
2024-06-08,11636
2024-06-07,8728
2024-06-06,13438
2024-06-05,13470
2024-06-04,12951
2024-06-03,8382
2024-06-02,18091
2024-06-01,8795
2024-05-31,15491
2024-05-30,7497
2024-05-29,10449
2024-05-28,7585
2024-05-27,12457
2024-05-26,5114
2024-05-25,8151
2024-05-24,17709
2024-05-23,13159
2024-05-22,819
2024-05-21,12196
2024-05-20,11858
2024-05-19,13801
2024-05-18,6711
2024-05-17,13142
2024-05-16,16696
2024-05-15,17060
2024-05-14,11665
2024-05-13,9875
2024-05-12,15724
2024-05-11,8149
2024-05-10,1296
2024-05-09,1363
2024-05-08,4534
2024-05-07,7263
2024-05-06,11243
2024-05-05,9766
2024-05-04,8967
2024-05-03,14807
2024-05-02,9012
2024-05-01,9247
2024-04-30,12067
2024-04-29,11109
2024-04-28,13558
2024-04-27,6514
2024-04-26,11140
2024-04-25,10973
2024-04-24,4089
2024-04-23,7479
2024-04-22,857
2024-04-21,2158
2024-04-20,8431
2024-04-19,14541
2024-04-18,9762
2024-04-17,5606
2024-04-16,9191
2024-04-15,14037
2024-04-14,16201
2024-04-13,13947
2024-04-12,21452
2024-04-11,12542
2024-04-10,9733
2024-04-09,7823
2024-04-08,6605
2024-04-07,7793
2024-04-06,8632
2024-04-05,13875
2024-04-04,5253
2024-04-03,10457
2024-04-02,8139
2024-04-01,12185
2024-03-31,8546
2024-03-30,9504
2024-03-29,13206
2024-03-28,7456
2024-03-27,14127
2024-03-26,7736
2024-03-25,14419
2024-03-24,12842
2024-03-23,5924
2024-03-22,9946
2024-03-21,14280
2024-03-20,12731
2024-03-19,4604
2024-03-18,13312
2024-03-17,10087
2024-03-16,11162
2024-03-15,12303
2024-03-14,10181
2024-03-13,4299
2024-03-12,9641
2024-03-11,10227
2024-03-10,12462
2024-03-09,8877
2024-03-08,12118
2024-03-07,10996
2024-03-06,9487
2024-03-05,8557
2024-03-04,9042
2024-03-03,12905
2024-03-02,11947
2024-03-01,13717
2024-02-29,11091
2024-02-28,8883
2024-02-27,10585
2024-02-26,13441
2024-02-25,5482
2024-02-24,12475
2024-02-23,18587
2024-02-22,4075
2024-02-21,10068
2024-02-20,11704
2024-02-19,11388
2024-02-18,14511
2024-02-17,10430
2024-02-16,17807
2024-02-15,9860
2024-02-14,8079
2024-02-13,14165
2024-02-12,12226
2024-02-11,5733
2024-02-10,1340
2024-02-09,14760
2024-02-08,13613
2024-02-07,8819
2024-02-06,13731
2024-02-05,13685
2024-02-04,7735
2024-02-03,5085
2024-02-02,15024
2024-02-01,10460
2024-01-31,11957
2024-01-30,6397
2024-01-29,16270
2024-01-28,11622
2024-01-27,13892
2024-01-26,15565
2024-01-25,735
2024-01-24,5162
2024-01-23,12464
2024-01-22,13589
2024-01-21,7191
2024-01-20,14348
2024-01-19,16961
2024-01-18,7328
2024-01-17,12960
2024-01-16,12597
2024-01-15,11010
2024-01-14,14113
2024-01-13,10201
2024-01-12,11379
2024-01-11,13682
2024-01-10,12185
2024-01-09,11025
2024-01-08,8317
2024-01-07,15938
2024-01-06,11600
2024-01-05,14891
2024-01-04,13079
2024-01-03,9737
2024-01-02,3064
2024-01-01,3944
2023-12-31,14973
2023-12-30,10853
2023-12-29,5569
2023-12-28,4666
2023-12-27,11945
2023-12-26,9486
2023-12-25,1674
2023-12-24,12754
2023-12-23,7341
2023-12-22,7503
2023-12-21,4548
2023-12-20,11783
2023-12-19,9091
2023-12-18,9923
2023-12-17,6661
2023-12-16,4267
2023-12-15,13621
2023-12-14,10279
2023-12-13,5110
2023-12-12,8251
2023-12-11,11308
2023-12-10,3859
2023-12-09,4749
2023-12-08,6754
2023-12-07,9730
2023-12-06,4831
2023-12-05,4080
2023-12-04,8942
2023-12-03,901
2023-12-02,8293
2023-12-01,10184
2023-11-30,20890
2023-11-29,12457
2023-11-28,9637
2023-11-27,15178
2023-11-26,19656
2023-11-25,13538
2023-11-24,8125
2023-11-23,13008
2023-11-22,3588
2023-11-21,1070
2023-11-20,5897
2023-11-19,4052
2023-11-18,4587
2023-11-17,11562
2023-11-16,11470
2023-11-15,11415
2023-11-14,8517
2023-11-13,10492
2023-11-12,664
2023-11-11,8569
2023-11-10,9398
2023-11-09,13320
2023-11-08,8231
2023-11-07,16279
2023-11-06,10946
2023-11-05,12405
2023-11-04,6108
2023-11-03,3900
2023-11-02,912
2023-11-01,11677
2023-10-31,9262
2023-10-30,7968
2023-10-29,6955
2023-10-28,13982
2023-10-27,11925
2023-10-26,6795
2023-10-25,8365
2023-10-24,16691
2023-10-23,10542
2023-10-22,9223
2023-10-21,6223
2023-10-20,19271
2023-10-19,12395
2023-10-18,4184
2023-10-17,14272
2023-10-16,13546
2023-10-15,18726
2023-10-14,6172
2023-10-13,10960
2023-10-12,10786
2023-10-11,17374
2023-10-10,16451
2023-10-09,14315
2023-10-08,5874
2023-10-07,9141
2023-10-06,11027
2023-10-05,10088
2023-10-04,13310
2023-10-03,12461
2023-10-02,9881
2023-10-01,19438
2023-09-30,11701
2023-09-29,12671
2023-09-28,8855
2023-09-27,9006
2023-09-26,8757
2023-09-25,7692
2023-09-24,13045
2023-09-23,13396
2023-09-22,15140
2023-09-21,14322
2023-09-20,985
2023-09-19,9056
2023-09-18,9211
2023-09-17,3096
2023-09-16,3541
2023-09-15,16895
2023-09-14,15571
2023-09-13,10260
2023-09-12,8650
2023-09-11,13082
2023-09-10,5761
2023-09-09,10909
2023-09-08,7550
2023-09-07,5970
2023-09-06,6076
2023-09-05,10243
2023-09-04,12031
2023-09-03,16137
2023-09-02,12797
2023-09-01,14834
2023-08-31,12161
2023-08-30,14130
2023-08-29,9321
2023-08-28,11332
2023-08-27,14180
2023-08-26,12495
2023-08-25,11821
2023-08-24,20163
2023-08-23,13685
2023-08-22,6806
2023-08-21,6436
2023-08-20,19336
2023-08-19,9186
2023-08-18,14859
2023-08-17,4336
2023-08-16,12963
2023-08-15,18528
2023-08-14,17628
2023-08-13,14202
2023-08-12,4876
2023-08-11,11119
2023-08-10,9887
2023-08-09,11586
2023-08-08,12829
2023-08-07,19600
2023-08-06,10324
2023-08-05,6276
2023-08-04,14302
2023-08-03,7683
2023-08-02,11137
2023-08-01,8327
2023-07-31,17563
2023-07-30,2867
2023-07-29,5219
2023-07-28,18366
2023-07-27,10628
2023-07-26,4680
2023-07-25,10626
2023-07-24,11279
2023-07-23,29285
2023-07-22,14196
2023-07-21,22656
2023-07-20,5147
2023-07-19,18040
2023-07-18,10650
2023-07-17,9083
2023-07-16,8575
2023-07-15,8179
2023-07-14,11142
2023-07-13,12976
2023-07-12,12720
2023-07-11,8726
2023-07-10,11138
2023-07-09,8611
2023-07-08,14280
2023-07-07,7731
2023-07-06,15193
2023-07-05,9786
2023-07-04,8478
2023-07-03,10149
2023-07-02,19382
2023-07-01,12251
2023-06-30,11351
2023-06-29,20872
2023-06-28,11891
2023-06-27,12640
2023-06-26,9150
2023-06-25,24274
2023-06-24,22910
2023-06-23,8054
2023-06-22,6974
2023-06-21,13240
2023-06-20,7072
2023-06-19,9977
2023-06-18,6780
2023-06-17,5727
2023-06-16,13463
2023-06-15,17820
